model,seed,split,condition_id,group,missing_modalities,requested_rate,position,duration,effective_missing_rate,base_valid_bins,remaining_valid_bins,effective_missing_rate_text,remaining_ratio_text,effective_missing_rate_audio,remaining_ratio_audio,effective_missing_rate_vision,remaining_ratio_vision,accuracy,macro_f1,mae,rmse,pearson,f1_negative,f1_neutral,f1_positive,valid_sample_count
robust,43,test,rate__audio+vision__r0p40__random__medium,rate,audio+vision,0.4,random,medium,0.2562604176880086,50995,37927,0.0,1.0,0.3998813408484129,0.600118659151587,0.39972206430421325,0.6002779356957868,0.6960110041265475,0.6352826039399906,0.6153521931933897,0.8360766579606858,0.694608757140974,0.6862745098039216,0.4307692307692308,0.7888040712468194,727
robust,43,valid,rate__text+audio+vision__r0p10__random__medium,rate,text+audio+vision,0.1,random,medium,0.10093173680360375,51946,46703,0.10076229332188104,0.899237706678119,0.1012495620693682,0.8987504379306318,0.1007905138339921,0.8992094861660079,0.6222527472527473,0.5847492639069736,0.5990314620526528,0.8013677678112712,0.6450639007847436,0.6377551020408163,0.40240240240240244,0.7140902872777019,728
robust,43,test,rate__text+audio+vision__r0p10__random__medium,rate,text+audio+vision,0.1,random,medium,0.10053926855574076,50995,45868,0.10066087716423616,0.8993391228357638,0.10050430139424503,0.899495698605755,0.1004358537047565,0.8995641462952435,0.6822558459422283,0.6250604686318972,0.6398173738783418,0.861729876952264,0.6702666492099598,0.6799999999999999,0.4222222222222222,0.7729591836734694,727
robust,43,valid,rate__text+audio+vision__r0p20__random__medium,rate,text+audio+vision,0.2,random,medium,0.20082393254533554,51946,41514,0.20050461670603392,0.7994953832939661,0.20086418311339485,0.7991358168866052,0.20114871541501977,0.7988512845849802,0.6057692307692307,0.5680332459204213,0.6050006204213088,0.8041215974686693,0.6430351965746113,0.6481012658227848,0.364741641337386,0.691256830601093,728
robust,43,test,rate__text+audio+vision__r0p20__random__medium,rate,text+audio+vision,0.2,random,medium,0.20092165898617512,50995,40749,0.19979245179966137,0.8002075482003387,0.2016018985464254,0.7983981014535746,0.20150337944539196,0.798496620554608,0.6753782668500687,0.6097135110277877,0.6597663389244712,0.8838845414487293,0.6472048093308648,0.6715328467153284,0.3816793893129771,0.7759282970550576,727
robust,43,valid,rate__text+audio+vision__r0p30__random__medium,rate,text+audio+vision,0.3,random,medium,0.2992530704962846,51946,36401,0.29869014386944387,0.7013098561305562,0.29966133364475067,0.7003386663552493,0.29946887351778656,0.7005311264822134,0.6085164835164835,0.5767836860777279,0.6261442618158001,0.8515621923167859,0.5880024652421,0.6391752577319587,0.3976945244956772,0.6934812760055479,728
robust,43,test,rate__text+audio+vision__r0p30__random__medium,rate,text+audio+vision,0.3,random,medium,0.29918619472497304,50995,35738,0.2995248238571194,0.7004751761428806,0.2989617324236132,0.7010382675763869,0.29903354178510516,0.7009664582148948,0.6616231086657497,0.609152662963616,0.6820170881413692,0.9289068469027328,0.5999181002275634,0.6363636363636365,0.4290657439446367,0.7620286085825748,727
robust,43,valid,rate__text+audio+vision__r0p40__random__medium,rate,text+audio+vision,0.4,random,medium,0.39970353828976246,51946,31183,0.40031135924414857,0.5996886407558514,0.3993927361905874,0.6006072638094125,0.39933300395256915,0.6006669960474308,0.5865384615384616,0.5589306757018297,0.6354919086686325,0.8537726735403652,0.5778147376454313,0.6015831134564643,0.40668523676880225,0.6685236768802229,728
robust,43,test,rate__text+audio+vision__r0p40__random__medium,rate,text+audio+vision,0.4,random,medium,0.3999019511716835,50995,30602,0.4000764651264406,0.5999235348735594,0.3998813408484129,0.600118659151587,0.39972206430421325,0.6002779356957868,0.624484181568088,0.5770667620457488,0.7117162890542693,0.9687109185008966,0.5532370169437194,0.6433915211970075,0.3733333333333333,0.7144754316069057,727
robust,43,valid,position__text__r0p30__prefix__medium,position,text,0.3,prefix,medium,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.6195054945054945,0.5750461420169931,0.613332386131163,0.8217666568537844,0.6178985276110522,0.6278481012658227,0.38338658146964855,0.713903743315508,728
robust,43,test,position__text__r0p30__prefix__medium,position,text,0.3,prefix,medium,0.10753995489753898,50995,45511,0.2995248238571194,0.7004751761428806,0.0,1.0,0.0,1.0,0.672627235213205,0.5959936190837719,0.649878304607992,0.8783134046507866,0.6517337167251068,0.6508313539192399,0.35684647302904565,0.7803030303030303,727
robust,43,valid,position__text__r0p30__middle__medium,position,text,0.3,middle,medium,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.6236263736263736,0.5944216931383357,0.621213703045294,0.8333878856577147,0.6116048248780979,0.6318537859007833,0.44699140401146126,0.7044198895027625,728
robust,43,test,position__text__r0p30__middle__medium,position,text,0.3,middle,medium,0.10753995489753898,50995,45511,0.2995248238571194,0.7004751761428806,0.0,1.0,0.0,1.0,0.6519944979367263,0.598969477630846,0.6743098417555777,0.9101996290329872,0.6215843665864395,0.6374695863746959,0.40845070422535207,0.75098814229249,727
robust,43,valid,position__text__r0p30__suffix__medium,position,text,0.3,suffix,medium,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.5851648351648352,0.5467343660920326,0.6352493399933267,0.8494411583292075,0.58160858600634,0.5730659025787965,0.38285714285714284,0.6842800528401586,728
robust,43,test,position__text__r0p30__suffix__medium,position,text,0.3,suffix,medium,0.10753995489753898,50995,45511,0.2995248238571194,0.7004751761428806,0.0,1.0,0.0,1.0,0.6368638239339752,0.5794953177134287,0.6956428598607423,0.9456277983417928,0.5821496542867263,0.6178861788617886,0.391304347826087,0.7292954264524103,727
robust,43,valid,position__text__r0p30__random__medium,position,text,0.3,random,medium,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.6112637362637363,0.5819937597084464,0.6309478954197123,0.8632517775300694,0.5787802182574605,0.6448362720403022,0.41399416909620995,0.6871508379888269,728
robust,43,test,position__text__r0p30__random__medium,position,text,0.3,random,medium,0.10753995489753898,50995,45511,0.2995248238571194,0.7004751761428806,0.0,1.0,0.0,1.0,0.6313617606602476,0.5669078368646407,0.6907802219240012,0.926541594685381,0.6027884949296894,0.6188118811881188,0.3393501805054151,0.7425614489003882,727
robust,43,valid,duration__text__r0p30__random__short,duration,text,0.3,random,short,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.5837912087912088,0.5428569696417275,0.6172156706094168,0.8489864811846531,0.5851180113988314,0.5916230366492147,0.3522388059701492,0.6847090663058186,728
robust,43,test,duration__text__r0p30__random__short,duration,text,0.3,random,short,0.10753995489753898,50995,45511,0.2995248238571194,0.7004751761428806,0.0,1.0,0.0,1.0,0.6451169188445667,0.5907427166484408,0.6887060104365854,0.9365806440762627,0.5898217623558154,0.6,0.4250871080139373,0.7471410419313851,727
robust,43,valid,duration__text__r0p30__random__medium,duration,text,0.3,random,medium,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.6167582417582418,0.5843697752774615,0.6264547466551169,0.843686288768232,0.5968836540373669,0.6547314578005116,0.4023668639053254,0.6960110041265475,728
