model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,rmse_mean,rmse_std,pearson_mean,pearson_std,effective_missing_rate_mean,effective_missing_rate_std
robust_noaug,valid,position__audio__r0p30__random__medium,position,audio,0.3,random,medium,0.6332417582417582,0.0077704041888631845,0.6150660409096648,0.0034558813572035836,0.5744297538889102,0.009839165979222169,0.7796542780439593,0.015382845606248153,0.6805491184982214,0.006925546726434839,0.09879490239864475,0.0
robust_noaug,valid,position__audio__r0p30__suffix__medium,position,audio,0.3,suffix,medium,0.6318681318681318,0.006822190671131594,0.6131052928963558,0.004276419926191682,0.5739013475183424,0.009494007400091337,0.7790259552061686,0.01483937009094235,0.6808137586799025,0.0066593757205204475,0.09879490239864475,0.0
robust_noaug,valid,position__text__r0p30__middle__medium,position,text,0.3,middle,medium,0.5989010989010989,0.010279278535093249,0.5865560339125797,0.007116707380612202,0.6209706004560608,0.015136827176510978,0.8418081177061297,0.014224677057943126,0.6068082473957147,0.009012441550526672,0.1071112308936203,0.0
robust_noaug,valid,position__text__r0p30__prefix__medium,position,text,0.3,prefix,medium,0.6121794871794872,0.005300291622156713,0.5975949428460309,0.0016740684844493983,0.6067358219608897,0.002572422330056234,0.8299928145010401,0.001342666947372844,0.6142818477335253,0.002973213225263167,0.1071112308936203,0.0
robust_noaug,valid,position__text__r0p30__random__medium,position,text,0.3,random,medium,0.5810439560439561,0.013598207330510523,0.568088380848612,0.015427646671896056,0.6360534018830093,0.00670876519709775,0.8780361287576692,0.012536731685603599,0.5646194524403246,0.005549954726881774,0.1071112308936203,0.0
robust_noaug,valid,position__text__r0p30__suffix__medium,position,text,0.3,suffix,medium,0.5233516483516484,0.01780423268793372,0.4999576524018427,0.007619455395377747,0.7058078394435182,0.022608653407871757,0.9503833913435041,0.033313033310066846,0.4947677400271076,0.0282773271111665,0.1071112308936203,0.0
robust_noaug,valid,position__vision__r0p30__middle__medium,position,vision,0.3,middle,medium,0.63507326007326,0.005532530207689855,0.6168822032505492,0.0045982033255584365,0.5744190010926157,0.009649810734163693,0.7797527844374068,0.014854678880550655,0.6804016783599766,0.006609840243292825,0.09334693720401956,0.0
robust_noaug,valid,position__vision__r0p30__prefix__medium,position,vision,0.3,prefix,medium,0.6346153846153846,0.006244588689096114,0.616134768494827,0.006077852908219946,0.5747843135775992,0.009683236041018232,0.7798799395190916,0.015357109101578304,0.6804714500005549,0.006937658149967024,0.09334693720401956,0.0
robust_noaug,valid,position__vision__r0p30__random__medium,position,vision,0.3,random,medium,0.6336996336996337,0.0094059700476988,0.6161969366632075,0.005053040502411221,0.5748143951364216,0.009703810574619779,0.780190452493183,0.01502685546987183,0.6800860281898543,0.006535387735304322,0.09334693720401956,0.0
robust_noaug,valid,position__vision__r0p30__suffix__medium,position,vision,0.3,suffix,medium,0.63003663003663,0.007877587240881499,0.6128168558311892,0.0068395968267626365,0.5753282309175494,0.009916015189124557,0.7808463692135081,0.015407084448002876,0.6798222095456988,0.0066479299367807245,0.09334693720401956,0.0
robust_noaug,valid,rate__audio+vision__r0p10__random__medium,rate,audio+vision,0.1,random,medium,0.6341575091575091,0.008113573785105037,0.6161396689821798,0.0045488181000656385,0.5746961986431135,0.009815182836697647,0.7799845286151847,0.015199000322133388,0.680317778854579,0.006697038611396825,0.06479805952335117,0.0
robust_noaug,valid,rate__audio+vision__r0p20__random__medium,rate,audio+vision,0.2,random,medium,0.6341575091575091,0.007122870506457923,0.6158168796764509,0.003842847547522671,0.5745532515385416,0.010099596831759344,0.7798013273101491,0.015328896118929068,0.6804189844830351,0.0069259964486443285,0.1289223424325261,0.0
robust_noaug,valid,rate__audio+vision__r0p30__random__medium,rate,audio+vision,0.3,random,medium,0.6318681318681318,0.005827803141647349,0.614387848067215,0.003874295499980693,0.5746848446371601,0.009674080758749525,0.7801113955166112,0.014987072850397243,0.679994467741404,0.006654155845398216,0.19214183960266432,0.0
robust_noaug,valid,rate__audio+vision__r0p40__random__medium,rate,audio+vision,0.4,random,medium,0.6327838827838828,0.008566065445911058,0.6146546896584684,0.006555647458934719,0.5743896808217692,0.009409968049050685,0.7799131654879808,0.014835308189729808,0.6799921836710191,0.0066512190149675965,0.256150617949409,0.0
robust_noaug,valid,rate__audio__r0p10__random__medium,rate,audio,0.1,random,medium,0.6341575091575091,0.00617707763884254,0.616033730154691,0.004267870066134391,0.5746004573221322,0.009818776194943266,0.7799087163356014,0.015374798776114477,0.6804558709480051,0.006758872702938156,0.03338081854233242,0.0
robust_noaug,valid,rate__audio__r0p20__random__medium,rate,audio,0.2,random,medium,0.6336996336996337,0.005755405260978296,0.6152810337064425,0.0056040560654531234,0.5747473461232779,0.00993851364542472,0.7801151477286407,0.015565479874032352,0.6801973284286137,0.007004328421621747,0.06622261579332384,0.0
robust_noaug,valid,rate__audio__r0p30__random__medium,rate,audio,0.3,random,medium,0.6336996336996337,0.005755405260978296,0.6158073915979195,0.005524016494103523,0.57443589452678,0.009745266734754076,0.7793949525544844,0.015252511370285006,0.6808112813917441,0.006697281507991399,0.09879490239864475,0.0
robust_noaug,valid,rate__audio__r0p40__random__medium,rate,audio,0.4,random,medium,0.6323260073260073,0.008492324629574841,0.6144302153120679,0.0027367936644807057,0.574460620133909,0.009596367900478714,0.7795213342843427,0.015114085163009066,0.6805587450182462,0.0068876050889625715,0.13167520117044623,0.0
robust_noaug,valid,rate__text+audio+vision__r0p10__random__medium,rate,text+audio+vision,0.1,random,medium,0.6190476190476191,0.010176790646013182,0.604781339471865,0.003930490446218563,0.5953344976480013,0.015246719875646127,0.814528673831069,0.02492954104623942,0.6416421981090711,0.020340248619252523,0.10093173680360375,0.0
robust_noaug,valid,rate__text+audio+vision__r0p20__random__medium,rate,text+audio+vision,0.2,random,medium,0.5984432234432234,0.0039387936204407495,0.5852881895987174,0.011354892156220457,0.6085627114036949,0.006006625166292368,0.8304029233936315,0.0061703192434106515,0.622332714017888,0.004862784040545937,0.2008239325453355,2.7755575615628914e-17
robust_noaug,valid,rate__text+audio+vision__r0p30__random__medium,rate,text+audio+vision,0.3,random,medium,0.5787545787545788,0.005057399733144376,0.5665809238986718,0.005961724330639382,0.624467992383284,0.010926775490916765,0.8563004643403579,0.016287401196878354,0.5878064920456784,0.016623428950754107,0.2992530704962846,0.0
robust_noaug,valid,rate__text+audio+vision__r0p40__random__medium,rate,text+audio+vision,0.4,random,medium,0.5407509157509157,0.0068528523567288465,0.5296576596972621,0.009227022387030605,0.6505394668391676,0.009311490191699077,0.8855430255913214,0.0035546255547355926,0.5429246197475542,0.00397851161520219,0.39970353828976246,0.0
robust_noaug,valid,rate__text+audio__r0p10__random__medium,rate,text+audio,0.1,random,medium,0.6222527472527473,0.011382603383384673,0.6087635687648425,0.00826897105173757,0.5871438965237198,0.004629970122802189,0.799232204828293,0.010861592263548709,0.6598412079853365,0.006430394800858813,0.069514495822585,0.0
robust_noaug,valid,rate__text+audio__r0p20__random__medium,rate,text+audio,0.2,random,medium,0.6016483516483516,0.01483686057327805,0.5877392012169423,0.009981747538214998,0.6020673446829735,0.004132025578029716,0.8210568011625062,0.008688564225790087,0.6306197124193281,0.0036108216625339597,0.13812420590613328,0.0
