variant,id,main_modality,aligned_bin,occlusion_drop,positive_occlusion_drop,normalized_local_importance
aligned,03,text,33,0.010385334491729736,0.010385334491729736,0.018625587758639057
aligned,03,text,34,-0.013938695192337036,0.0,0.0
aligned,03,text,35,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,36,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,37,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,38,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,39,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,40,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,41,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,42,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,43,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,44,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,45,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,46,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,47,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,48,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,03,text,49,5.960464477539063e-08,5.960464477539063e-08,1.0689800535270382e-07
aligned,04,text,0,0.007233679294586182,0.007233679294586182,0.024917877012729243
aligned,04,text,1,0.015551388263702393,0.015551388263702393,0.05356991433421094
aligned,04,text,2,0.01104205846786499,0.01104205846786499,0.038036612305379455
aligned,04,text,3,0.006558835506439209,0.006558835506439209,0.022593240568252678
aligned,04,text,4,0.010617554187774658,0.010617554187774658,0.03657432112382477
aligned,04,text,5,0.012503325939178467,0.012503325939178467,0.04307024479723491
aligned,04,text,6,0.005562245845794678,0.005562245845794678,0.019160285140620795
aligned,04,text,7,0.0082436203956604,0.0082436203956604,0.02839682418771696
aligned,04,text,8,0.011695325374603271,0.011695325374603271,0.04028692280100418
aligned,04,text,9,0.0066149234771728516,0.0066149234771728516,0.022786446971207318
aligned,04,text,10,0.01685464382171631,0.01685464382171631,0.05805924270892213
aligned,04,text,11,0.012028276920318604,0.012028276920318604,0.04143384200069029
aligned,04,text,12,0.015068292617797852,0.015068292617797852,0.0519057932970724
aligned,04,text,13,0.012388825416564941,0.012388825416564941,0.042675824499598496
aligned,04,text,14,0.01003807783126831,0.01003807783126831,0.0345781971604613
aligned,04,text,15,0.013342499732971191,0.013342499732971191,0.045960949310729485
aligned,04,text,16,0.007212162017822266,0.007212162017822266,0.0248437563841781
aligned,04,text,17,0.001385331153869629,0.001385331153869629,0.004772054428769152
aligned,04,text,18,-0.001981019973754883,0.0,0.0
aligned,04,text,19,0.005755603313446045,0.005755603313446045,0.0198263441960776
aligned,04,text,20,-0.00024515390396118164,0.0,0.0
aligned,04,text,21,0.016221046447753906,0.016221046447753906,0.05587668791252698
aligned,04,text,22,0.011016488075256348,0.011016488075256348,0.037948529896381006
aligned,04,text,23,0.016323387622833252,0.016323387622833252,0.056229222868821475
aligned,04,text,24,0.017718970775604248,0.017718970775604248,0.061036592389310286
aligned,04,text,25,0.017478585243225098,0.017478585243225098,0.06020853561660458
aligned,04,text,26,0.017583370208740234,0.017583370208740234,0.060569488705227596
aligned,04,text,27,0.004262268543243408,0.004262268543243408,0.014682249382447866
aligned,04,text,28,0.0,0.0,0.0
aligned,04,text,29,0.0,0.0,0.0
aligned,04,text,30,0.0,0.0,0.0
aligned,04,text,31,0.0,0.0,0.0
aligned,04,text,32,0.0,0.0,0.0
aligned,04,text,33,0.0,0.0,0.0
aligned,04,text,34,0.0,0.0,0.0
aligned,04,text,35,0.0,0.0,0.0
aligned,04,text,36,0.0,0.0,0.0
aligned,04,text,37,0.0,0.0,0.0
aligned,04,text,38,0.0,0.0,0.0
aligned,04,text,39,0.0,0.0,0.0
aligned,04,text,40,0.0,0.0,0.0
aligned,04,text,41,0.0,0.0,0.0
aligned,04,text,42,0.0,0.0,0.0
aligned,04,text,43,0.0,0.0,0.0
aligned,04,text,44,0.0,0.0,0.0
aligned,04,text,45,0.0,0.0,0.0
aligned,04,text,46,0.0,0.0,0.0
aligned,04,text,47,0.0,0.0,0.0
aligned,04,text,48,0.0,0.0,0.0
aligned,04,text,49,0.0,0.0,0.0
aligned,05,vision,0,-5.960464477539063e-08,0.0,0.0
aligned,05,vision,1,0.007951676845550537,0.007951676845550537,0.0841778545616766
