model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,rmse_mean,rmse_sd,pearson_mean,pearson_sd,f1_negative_mean,f1_negative_sd,f1_neutral_mean,f1_neutral_sd,f1_positive_mean,f1_positive_sd,effective_missing_rate_mean,effective_missing_rate_sd
baseline,test,rate__audio+vision__r0p30__random__medium,rate,audio+vision,0.3,random,medium,0.6891334250343878,0.022975643863122504,0.6518287479168633,0.013866845161617935,0.6129972772870907,0.006496783111669171,0.8293134481915342,0.004796357367237957,0.702035733590118,0.0021956875232637383,0.7150329580416369,0.011024709963552076,0.4745060929060883,0.019443096910810892,0.7659471928028645,0.024472885774441205,0.19164623982743403,3.3993498887762956e-17
baseline,test,rate__audio+vision__r0p40__random__medium,rate,audio+vision,0.4,random,medium,0.6946354883081156,0.022008253094910557,0.6581550824482226,0.013648584572583049,0.613448665463244,0.007381349931608768,0.8296951733981347,0.003876828314420761,0.7017783174844228,0.004171675411337035,0.7167555357281953,0.012737200827511043,0.4873317454286586,0.019465499751661935,0.7703779661878137,0.022983783965553468,0.2562604176880086,0.0
baseline,test,rate__audio__r0p10__random__medium,rate,audio,0.1,random,medium,0.692801467216873,0.025524375350237133,0.6565377876482184,0.017539893792866794,0.6139365427434301,0.006527349828947429,0.8293340649657069,0.004223703207377274,0.702061058257137,0.0025453104217688987,0.7168017774575152,0.012281534829904834,0.48419917684662206,0.02282438263018278,0.7686124086405179,0.025765657862916937,0.033218943033630745,0.0
baseline,test,rate__audio__r0p20__random__medium,rate,audio,0.2,random,medium,0.6918844566712518,0.025474909460044232,0.6548629522595112,0.017416752910537087,0.6136649497859402,0.007058897152813234,0.8290582830123476,0.00486934877392711,0.702327355272136,0.002170568563965368,0.7161984592071381,0.012977511494647275,0.48028093026436763,0.022524344980145303,0.7681094673070276,0.026266416628488557,0.0666339837238945,0.0
baseline,test,rate__audio__r0p30__random__medium,rate,audio,0.3,random,medium,0.692801467216873,0.024231472281932735,0.6549643599432683,0.016287382082852773,0.6141412854963271,0.006408992364391111,0.8295511462205605,0.0038205119005952433,0.7018599983390895,0.003122586125216622,0.715636276292014,0.010299224598815951,0.47912595250845574,0.025630258808793195,0.7701308510293353,0.026531079644926594,0.09881360917737032,1.6996749443881478e-17
baseline,test,rate__audio__r0p40__random__medium,rate,audio,0.4,random,medium,0.692801467216873,0.02614686369442138,0.6565016620999679,0.01842542569031166,0.6142380252341298,0.0076544335571034575,0.8294775471940947,0.005056307612778291,0.7019484588610724,0.0020488991461553533,0.7162910306773487,0.012539181177445057,0.4842524066624183,0.024176745797370787,0.7689615489601368,0.02573411049109062,0.1321698205706442,0.0
baseline,test,rate__text+audio+vision__r0p10__random__medium,rate,text+audio+vision,0.1,random,medium,0.6671251719394773,0.02213683210375669,0.6320495448109331,0.01214551532243007,0.6538977216543175,0.011771791935630282,0.880899438681637,0.022370077013380004,0.6529394002273388,0.025954617298729308,0.6765893489565024,0.004704105386665085,0.47347893205608704,0.009612792423878786,0.74608035342021,0.026984422735244984,0.10053926855574076,0.0
baseline,test,rate__text+audio+vision__r0p20__random__medium,rate,text+audio+vision,0.2,random,medium,0.6455754241173773,0.014050026085322853,0.6108208039197782,0.0017358270743759391,0.6808088080375082,0.008281921653946573,0.9149168790976775,0.00925893122709643,0.6168727661298443,0.005271249117476848,0.6495075273901102,0.016452728004248907,0.45049842352401653,0.025134057309738778,0.7324564608452077,0.017746641362751867,0.20092165898617512,0.0
baseline,test,rate__text+audio+vision__r0p30__random__medium,rate,text+audio+vision,0.3,random,medium,0.6281522237505731,0.02269948426315735,0.5990613635387408,0.010234452920499537,0.697226868396226,0.027131441128289115,0.9371266837985841,0.04085255608833434,0.5916896020321257,0.04113541042565569,0.6261599581407481,0.023265082347518083,0.45622093955427295,0.01607470816043199,0.7148031929212015,0.02201662666275897,0.29918619472497304,0.0
baseline,test,rate__text+audio+vision__r0p40__random__medium,rate,text+audio+vision,0.4,random,medium,0.6052269601100413,0.01673387216038024,0.5785987682486043,0.00224075393682499,0.7149956256547471,0.013622594582273275,0.9645733335625347,0.021568461136549925,0.5583849610824207,0.029688293080054565,0.621502866634385,0.018037611255063753,0.4217945164759893,0.03408674326736783,0.6924989216354388,0.029646005486940016,0.3999019511716835,0.0
