model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,rmse_mean,rmse_sd,pearson_mean,pearson_sd,f1_negative_mean,f1_negative_sd,f1_neutral_mean,f1_neutral_sd,f1_positive_mean,f1_positive_sd,effective_missing_rate_mean,effective_missing_rate_sd
baseline,test,rate__text__r0p30__random__medium,rate,text,0.3,random,medium,0.6313617606602476,0.032521569236690195,0.5959819647001331,0.020004629472928196,0.6917499482869958,0.020417803553697256,0.9314658221982621,0.025020411482277995,0.5974139963934783,0.025714561559537146,0.6282287956462244,0.027261587534196382,0.43901257103892527,0.028061598780080507,0.72070452741525,0.035388255600063284,0.10753995489753898,0.0
baseline,test,rate__text__r0p40__random__medium,rate,text,0.4,random,medium,0.5988078862906924,0.01533766958613273,0.5683369119167435,0.003166593887188603,0.7221319355576178,0.011789357507668694,0.9742023822752451,0.011286245604357545,0.5466094157201554,0.0079434827574404,0.6002244852731575,0.014529800987941073,0.4086232115823365,0.03173423915725037,0.6961630388947365,0.02309381280676126,0.14364153348367487,0.0
baseline,test,rate__vision__r0p10__random__medium,rate,vision,0.1,random,medium,0.6909674461256304,0.025598394960491287,0.6548163779889319,0.016852546849458562,0.6133426064369173,0.006758113763885152,0.8290344166788276,0.0047113032590859385,0.7022892301521869,0.0022823458988644207,0.7173588539785722,0.011985336658132742,0.48091483984659056,0.02148028645895317,0.7661754401416325,0.0267521798846519,0.031179527404647512,4.2491873609703695e-18
baseline,test,rate__vision__r0p20__random__medium,rate,vision,0.2,random,medium,0.6923429619440623,0.02423147228193273,0.6558863729014767,0.015336506752548114,0.613637853957412,0.006735279777174905,0.829196107042265,0.004773749224070617,0.7021297552980603,0.001980222335418655,0.7173588539785722,0.011985336658132742,0.48238347870395343,0.017549306585810553,0.7679167860219044,0.025267092071096953,0.06255515246592804,0.0
baseline,test,rate__vision__r0p30__random__medium,rate,vision,0.3,random,medium,0.6923429619440623,0.024810177457072372,0.6551764385355182,0.015379901723320813,0.6139838052691499,0.006212150633120324,0.829347970954737,0.0039946483832108,0.7019749993877191,0.002450583402812809,0.7177701086852143,0.014421446107285126,0.4789837685250529,0.01696004104408941,0.7687754383962874,0.026624156985995358,0.09283263065006374,0.0
baseline,test,rate__vision__r0p40__random__medium,rate,vision,0.4,random,medium,0.692801467216873,0.025524375350237133,0.656120619778013,0.01694022705570337,0.6138221989972931,0.007012191412415714,0.829425111871044,0.004998164962299644,0.7019412728026809,0.0016657998364436777,0.7177882491448097,0.012707339939937543,0.482113450424722,0.01787545011360773,0.7684601597645075,0.026888584071046582,0.12409059711736443,1.6996749443881478e-17
baseline,valid,ablation__audio+vision__r1p00__random__long,ablation,audio+vision,1.0,random,long,0.6236263736263736,0.009615384615384581,0.6006000534646425,0.015487346408837243,0.5901176896229413,0.007438705527973599,0.7922608776235656,0.011957117720938954,0.673236925783494,0.005659835357590038,0.6716171352074967,0.02335800468477645,0.43093612765728134,0.04541882905279252,0.6992468975291497,0.008345782469713823,0.6413968351749895,0.0
baseline,valid,ablation__audio__r1p00__random__long,ablation,audio,1.0,random,long,0.6295787545787546,0.014687742612037896,0.6070122210140515,0.014965924729107351,0.5782628428718014,0.0057641153627586445,0.7769138904907466,0.012436470439312832,0.68247666135851,0.004538311683121776,0.6753637808755197,0.022912336110485668,0.44037027971025583,0.04257416490672485,0.705302602456379,0.013689263726377082,0.3296885226966465,0.0
baseline,valid,ablation__complete__r0p00__none__none,ablation,,0.0,none,none,0.6286630036630036,0.011187538207757,0.6095907850358443,0.0021927121324525505,0.5779588355549744,0.008212721323898827,0.7744579899476793,0.015046483368883251,0.682595148331027,0.003423052469497725,0.6676084073514185,0.02083528195964545,0.45797467574892853,0.02412008640065727,0.7031892720071858,0.01569125338901278,0.0,0.0
baseline,valid,ablation__text+audio+vision__r1p00__random__long,ablation,text+audio+vision,1.0,random,long,0.3333333333333333,0.11441024139890663,0.1643076226396961,0.041246657537406285,0.8221256913542202,0.051656034559278224,1.078988660319644,0.040829219028830785,1.734723475976807e-17,0.01742424870389818,0.14703783012134192,0.25467699240484565,0.13450292397660818,0.23296589809405951,0.21138211382113822,0.3661245609495188,1.0,0.0
baseline,valid,ablation__text+audio__r1p00__random__long,ablation,text+audio,1.0,random,long,0.4015567765567765,0.005551444896054104,0.38025198366983065,0.019330712131394267,0.7703752003246814,0.011505679721803502,1.031507359337044,0.003088936137567638,0.1833636996239992,0.023767880827565844,0.2965501640085963,0.08981510245512934,0.3368281906422648,0.008605035929204393,0.5073775963586309,0.036776104949969156,0.6882916875216573,1.3597399555105182e-16
baseline,valid,ablation__text+vision__r1p00__random__long,ablation,text+vision,1.0,random,long,0.3282967032967033,0.0027472527472527375,0.3111875220343466,0.01123736844244055,0.7979693634374981,0.008235043636151239,1.0614157255912398,0.008619679721310652,0.044792626537107,0.02268444034052546,0.3423105900982007,0.08128231340441547,0.2868154229745359,0.10179954470056077,0.304436553030303,0.04056308102946907,0.6703114773033535,0.0
baseline,valid,ablation__text__r1p00__random__long,ablation,text,1.0,random,long,0.3887362637362637,0.016654334688162287,0.3737692482763426,0.011097320038185322,0.7726326274558485,0.0024120494649598483,1.0315986637245267,0.0022160566463366505,0.1811837622940067,0.01637862862216025,0.36324088005713295,0.07885775922691637,0.3151781011091322,0.05455139232106196,0.4428887636627627,0.0574455361700767,0.3586031648250106,0.0
